id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4720588906826981,L8DBUsE0B,2014878391,武汉刘正涛,2021年股民赚钱9万亿，2021年11月年底A股股民数1.9亿计算，2021年全年中国股民人均赚了近5万。恭喜恭喜，大A，成绩卓越！明年再接再厉，人均争取赚到20万，信不？,,,,,4,56,882,2021-12-31 22:06,HUAWEI Mate Xs 5G,,,,
4720556195185441,L8CL9lKY9,7521955262,博识财经,盘后数据显示，12月31日A股龙虎榜中，共25只个股出现了机构的身影，有5只股票呈现机构净买入，20只股票呈现机构净卖出。机构与北向资金同向净买入的无，三只机构以上买入的无。,,,,,64,70,225,2021-12-31 19:56,战舰粉丝团超话,"['https://wx4.sinaimg.cn/large/008d3mb4ly1gxx9hytovzj30ra0l3ajd.jpg', 'https://wx4.sinaimg.cn/large/008d3mb4ly1gxx9i0fi66j30fu04iq3t.jpg', 'https://wx1.sinaimg.cn/large/008d3mb4ly1gxx9i1yvirj30fk03rt9b.jpg']",,,
4720548838116816,L8Czhy3yo,2125494943,天狼50官方,【#收盘论道#20211231A股连涨两日收官！2022年能否强势开局？@天狼若超】周五上证指数小幅上涨，但盘口抛压却又上升到比较沉重的程度。当前市场多空状态如何？短期市场可能会怎么样？L天狼50官方的微博视频,,,天狼若超,收盘论道,2,3,61,2021-12-31 19:26,微博视频号,,"http://f.video.weibocdn.com/o0/u3lX9t33lx07SBcibv6M01041201okkF0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1711509319&ssig=aGXWV9iJJC&KID=unistore,video",,
4720476964783126,L8AHmk4jc,1885454921,蓝鲸新闻,#今年1万入A股极限可赚200亿#【1万投入A股，2021年极限赚多少？】答案：200亿。#微盘点#@鲸视频vL鲸视频v的微博视频,,,鲸视频v,"今年1万入A股极限可赚200亿,微盘点",62,35,70,2021-12-31 14:41,微博视频号,,"http://f.video.weibocdn.com/u0/McnAPMsJgx07SASCHOQo01041200cj370E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1711509319&ssig=jOoScJLOUm&KID=unistore,video",,
4720590500143695,L8DEu0BnF,1801487174,东方财富网,【三分之二股民赚钱你的2021呢？】A股的2021正式收官！从股民角度来看，小编的0元账户来看，今年0收益可以超过32.1%的股民。换句话说，年内近三分之一的股民亏钱。O三分之二股民赚钱你的2021呢？,,,,,62,18,34,2021-12-31 22:12,微博 weibo.com,,,,
4720616944966134,L8El8kPUW,1483330984,侯宁,2021年，在A股市场，你若炒股炒成神经病，一万元可以变成43亿；但你若炒股炒成精神病，一万元就能化作5元。#今日看盘##大回醉观##遇见美好##财经v+年终大联欢#,,,,"今日看盘,大回醉观,遇见美好,财经v+年终大联欢",81,12,78,2021-12-31 23:57,微博网页版,['https://wx3.sinaimg.cn/large/001CnU9ily1gxxgf9wknzj60go2zwn3l02.jpg'],,,
4720501894939125,L8BlzkITj,1249424622,但斌,2021年A股与港股交易结束，今年国内投资需要反思、反省和总结的东西太多了……今年惟一能略感欣慰的是美股的投资……,,,,,49,93,460,2021-12-31 16:20,iPhone 12 Pro Max,['https://wx1.sinaimg.cn/large/001mysq2gy1gxx3992vn7j60ku0vy78002.jpg'],,,
4720521247721068,L8BQMwoBm,1196703900,猫在飞fly,【2021年A股收官股民人均赚近5万】今年A股的你是平均了别人还是被平均了？新的一年有什么期许嘛#新的一年你有什么美好愿望#,,,,新的一年你有什么美好愿望,8,60,201,2021-12-31 17:37,iPhone客户端,,,,
4720486032084859,L8AVZ8KmL,1657996683,红树西岸,今年，我投资的比亚迪获得了38%的收益，投资的同仁堂获得了40%的收益。感谢A股，感谢证监会，感谢所有关心我微博的朋友，谢谢大家！,,,,,6,85,516,2021-12-31 15:17,微博网页版,,,,
4720493872023026,L8B8D8uhs,5244183267,麒麟神侯,#2021的最后一天#A股今天圆满落幕，不管这一年是好与坏，都即将结束，在无法预知的未来里，希望我们都能平平安安，将所有未尽的期待和故事都放在2022年，我会一如既往与大家同在，共同面对所有风浪，以及那一望无尽的星辰大海。,,,,2021的最后一天,8,49,147,2021-12-31 15:48,旷世麒财HarmonyOS设备,,,,
4720494366690495,L8B9qs4vd,7285278074,坡坡Depol,大盘直击|A股2021年收官：沪指年涨4.8%年线时隔28年再度三连阳_新浪专题@新浪财经O大盘能否红盘收官？,,,新浪财经,,28,41,265,2021-12-31 15:50,新浪财经iPhone客户端,,,,
4720392202355252,L8yuE9SHW,2144596567,洪榕,监管层领导选择昨晚发声，算是用心良苦，昨晚中概股已出现久违的反弹！且看今天A股及港股投资者的回应。,,,,,9,26,288,2021-12-31 09:04,HUAWEI Mate X2,,,,
4720179840024734,L8sY806qW,1593163950,周思CIO,领导定性#A股#没有大牛市，也不支持大熊市。融资功能继续扩大【易会满：多措并举促进市场平稳运行坚决防止大上大下、急上急下】中国证监会主席易会满接受专访时表示，将会同有关部门综合施策，多措并举促进市场平稳运行，坚决防止大上大下、急上急下#今日看盘#,,三亚,,"A股,今日看盘",3,28,65,2021-12-30 19:00,HUAWEI Mate30 Pro 5G,['https://wx4.sinaimg.cn/large/5ef5c0aegy1gxw295ass8j20ku0scjtj.jpg'],,,
4720100664413681,L8qUqiwcp,1849934377,威哥_178,恒指午后不断回落，拖累A股。恒指属实不争气啊，这个平台要是站不稳，往下真的就是要跌破20000点了。,,,,,4,12,57,2021-12-30 13:45,微博 weibo.com,,,,
