id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4947666918180338,Nk027yk4W,7751678845,广西小wu,瑞银：中国股市可能已经触底！,,,,,18,228,5293,2023-09-19 12:52,,,,,
4943747412394979,Nim4la32H,1154258881,馬曼然,中国股市一定来牛市，核心因素是美国利率太高，但这种高利率不可持续，一定会下来。品牌中药和优质国产创新药就是2009年的礼来、2014年的白酒、2019年的比亚迪宁德时代，牛市一旦确立，五六年就可能上涨二三十倍。,,,,,271,0,846,2023-09-08 17:18,nova9Pro精彩由我摄定,,,,
4948376599138807,NkiuLClq7,1592054367,陈营长极品投资,中国股市，不会成为下一个男足。男足还比印度强呢我心光明，曙光在前面。,,,,,25,103,454,2023-09-21 11:53,微博网页版,,,,
4941592508764513,Nhs0GAM37,2820792015,股道热肠也,中国股市跑输正在打仗的俄罗斯乌克兰。2022年7月到2023年7月，上证指数下跌8.97%，正在打仗的俄罗斯股市上涨30.47%，乌克兰股市今年三月上涨70.17%，整体跑赢A股,,,,,253,94,866,2023-09-02 18:35,iPhone 12 Pro Max,,,,
4951629394872674,NlF7dkrBw,6393953260,卢大宏观,刘纪鹏教授：“中国股市为何熊长牛短？上市公司原始股成本5毛6毛，上市就能赚50倍。大股东就没有心思经营公司，而是想着依靠另外一家公司再上市再圈钱。”A股公司使命就是圈钱，不是投资赚企业发展的钱。最后发展成企业来赚小股东的钱。窗户纸,,,,,88,29,227,2023-09-30 11:18,浙商会iPhone客户端,['https://wx4.sinaimg.cn/large/006YInkogy1hiefw5ij4xj30jp0d5q7d.jpg'],,,
4947787755031639,Nk3b1l6Xt,5861117661,王主任BOY,刘姝威也是忍无可忍了。刘姝威说，如果这种行为，官方认为合理合法，那么，中国股市还有存在的必要吗？把a股当成提款机，公开抢钱！何时中国股市能让广大投资者分享到上市公司发展的红利？,,,,,251,197,1243,2023-09-19 20:53,Android,['https://wx3.sinaimg.cn/large/006oEErPgy1hi26nefc72j30qo0kcwgq.jpg'],,,
4950143230019213,Nl2sb04ZT,1896820725,天津股侠,#东方财富##股票#【摩根大通：中国股票正接近“买入区”】摩根大通表示，中国股市正在接近“买入区”。O摩根大通：中国股票正接近“买入区”,,,,"东方财富,股票",13,55,882,2023-09-26 08:52,,,,,
4951017127149773,NlpbGtZYV,2828204371,吴小朋同学,全球股市即将上涨，因为中国股市已经休市，它严重拖累全球市场。预计长假期间欧美亚洲股市上涨，中国股市开盘它们就回调，以往都是这演绎的。,,,,,7,30,202,2023-09-28 18:45,Xiaomi 13 Pro,,,,
4949225948323931,NkEAGyVqX,2799216102,英特耐雄奈尔,从中国股市的种种表现，足以证明，股市监管不是不到位，而是在袒护上市资本利益，在藐视股市投资者的愚昧与无知，在篡改无视证券法中的具体条款规定，以下犯上，证监会拥有庞大的律师执业队伍，难道不知道母法的严肃性．以及不可侵犯和肆虏挑战性。#沪深两市##恒生指数##中国股市#,,,,"沪深两市,恒生指数,中国股市",49,40,395,2023-09-23 20:08,iPhone客户端,,,,
4948074688941700,NkaDOBw8Y,6540005779,曼殊室利菩萨,#文殊菩萨加持我#近期大摩、高盛、瑞银相继看多A股，认为中国股市可能已经触底。一系列政策超预期、部分宏观经济数据开始触底、地缘紧张局势缓和。哈哈哈哈，谁知道为什么前几天还拼命唱衰的人，现在突然反而拼命吹捧的呢？猜的出来吗？真看懂这些蜜汁操作的人，就能发大财。#四爷保佑我#,,,,"文殊菩萨加持我,四爷保佑我",10,61,416,2023-09-20 15:53,iPhone 14 Pro,['https://wx1.sinaimg.cn/large/0078Bcgbly1hi33po53p5j30ri0utagd.jpg'],,,
4945394951258840,Nj2VF5htS,7754613189,微辣鲜香,突然要和台湾省搞什么跨海经济，之前不是一直遏制台湾省的出口吗？如果这么搞的话，军工板块就不能看了。但是也难说，万一有机构在军工板块里有潜伏的话可能就会提前拉一把出货。在中国股市只能快进快出。,,,,,3,25,170,2023-09-13 06:25,iPhone客户端,,,,
4950620453732982,NleRTfF7o,1582297713,袁国庆,吴晓求：中国股市可以起来，没有问题,,,,,156,262,538,2023-09-27 16:29,iPhone 12 Pro Max,['https://wx4.sinaimg.cn/large/5e4ff271gy1hib80n4xs1j20zo1twqh4.jpg'],,,
4943075233237574,Ni4AbdAeW,1982583652,吴劲松杭州,有粉丝问我8涨停的大股东违规减持怎么看：人家大股东公司都不要了，都清仓了，请大家千万不要再追究责任了，不然大股东一家夫妻都要离婚了，反正中国股市违规减持多的是，没必要较真，人家用8个涨停才减持完，多不容易！希望不要处罚，还要奖励！既然制度永远改不了结局，何必折腾呢,,,,,0,8,122,2023-09-06 20:47,iPhone客户端,['https://wx1.sinaimg.cn/large/762bd364gy1hhn5glhj3cj20wi1ych5z.jpg'],,,
4946613128661157,NjyCsAla5,3935632042,薇薇说市,留美归来，位高权重，a股做空制度主要推动者，最懂中国股市的精英专家。立场不同，结果不同。,,,,,95,291,2355,2023-09-16 15:05,iPhone 11 Pro,['https://wx2.sinaimg.cn/large/ea94faaagy1hhyeueyoluj20b40f93z5.jpg'],,,
4949778251384474,NkSXv5Oae,5802446902,好股要_重仓,中国股市太奇葩，既不是动乱，也不是战争，就是一个普普通通的节日，股市居然休市10天，全世界都没有的，这像话吗？这么多资金沉淀在里边，不能交易不能流动不能增值，彻底变成死钱，这种显而易见的不合理为什么不改？,,,,,60,217,834,2023-09-25 08:42,iPhone客户端,['https://wx2.sinaimg.cn/large/006kGtvgly1hi8jadm5ajj30j609yn1g.jpg'],,,
4945849850004683,NjeLn01dx,1049664781,石战牛熊,对股市最深刻的分析，最透彻的结论。或许这就是中国股市长期在3000点附近徘徊的根本原因。,,大连,,,436,78,401,2023-09-14 12:32,荣耀20,['https://wx3.sinaimg.cn/large/3e909d0dly1hhw04a0mpij20pt0pqjxw.jpg'],,,
4941241768216167,NhiSYytoP,1572608033,天真博物馆2020,请问量化盘交易对中国股市有贡献吗？贡献有我们老韭们大吗？关了吧。,,,,,4,37,240,2023-09-01 19:21,HUAWEI P50 Pro,"['https://wx4.sinaimg.cn/large/5dbc1821ly1hhhavw2higj20qj0ivjxm.jpg', 'https://wx3.sinaimg.cn/large/5dbc1821ly1hhhavztziyj21fk35se81.jpg']",,,
