id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5006524019904224,O2JIBFyxy,2245969614,东莞哥,人家半年一次的期指期权交割，咱们一个月两次，这也是方独创的。方估计与中国股市上辈子有仇，带来转融通，带来各种做空，天量的衍生品挂靠，这是要把股市绝户的做法啊！如此歹毒，有杀父之仇？？,,,,,271,60,3119,2024-02-28 22:50,HUAWEI Mate 40 Pro,,,,
5006829904201659,O2RFYhD2H,1216826604,wu2198,2024年2月全球主要股指表现：中国股市领涨全球，终于夺回第一…………不做大哥好多年了！,,,,,38,25,8341,2024-02-29 19:05,,,,,
5005088427083437,O28n8tIIZ,3895107933,鹏程蛇口,他，被瑞士世界经济论坛，任命为全球青年领袖，为中国股市设计了转融通，中国后门，掏空了3亿中国散户的钱包。,,,,,784,746,7607,2024-02-24 23:45,微博网页版,['https://wx2.sinaimg.cn/large/e82aa15dgy1hn4ziq621ej20j60xndl4.jpg'],,,
5006284451742078,O2Dud7jc2,7360562686,新侠客行,年纪53，炒股30年，大半辈子都给股市了。见证了中国股市绝大多数行情的每一天。,,,,,9,105,2293,2024-02-28 06:58,HUAWEI Mate 40 Pro,,,,
5004332988367850,O1OIGz6Rk,7807795918,极端交易者,看到那么多牛人对T+0的理解如此片面，如此可笑，竟然侃侃而谈，真是中国股市的悲哀，他们对待投资如此不认真的吗？,,,,,28,126,647,2024-02-22 21:43,HUAWEI Mate X2,,,,
5004634047120592,O1WygtSog,7799274131,洪灝的宏观策略,中国股市风险溢价接近历史极值。也就是说，中国股票历史性地便宜。,,,,,366,252,1578,2024-02-23 17:40,,['https://wx2.sinaimg.cn/large/008vOXu3gy1hn3jcnxp4gj30s00f2q6o.jpg'],,,
5006413130893677,O2GPL3Ku9,1905549057,扬韬,今天两市巨量下跌，好事情，历来巨量之后的下跌，未来还是相对乐观的。涨了这么多，总要调整一下。大家主要是要等着看看两会有什么实质性利好没有，关于消费，关于家电汽车的相关政策，尤其是货币政策，股市新政也在期待中。对中国股市，还是要持一份乐观的心态。股市超话,,,,,29,85,558,2024-02-28 15:29,微博网页版,,,,
5006524019904224,O2JIBFyxy,2245969614,东莞哥,人家半年一次的期指期权交割，咱们一个月两次，这也是方独创的。方估计与中国股市上辈子有仇，带来转融通，带来各种做空，天量的衍生品挂靠，这是要把股市绝户的做法啊！如此歹毒，有杀父之仇？？,,,,,271,60,3119,2024-02-28 22:50,HUAWEI Mate 40 Pro,,,,
5006829904201659,O2RFYhD2H,1216826604,wu2198,2024年2月全球主要股指表现：中国股市领涨全球，终于夺回第一…………不做大哥好多年了！,,,,,38,25,8341,2024-02-29 19:05,,,,,
5005088427083437,O28n8tIIZ,3895107933,鹏程蛇口,他，被瑞士世界经济论坛，任命为全球青年领袖，为中国股市设计了转融通，中国后门，掏空了3亿中国散户的钱包。,,,,,784,746,7607,2024-02-24 23:45,微博网页版,['https://wx2.sinaimg.cn/large/e82aa15dgy1hn4ziq621ej20j60xndl4.jpg'],,,
5006284451742078,O2Dud7jc2,7360562686,新侠客行,年纪53，炒股30年，大半辈子都给股市了。见证了中国股市绝大多数行情的每一天。,,,,,9,105,2293,2024-02-28 06:58,HUAWEI Mate 40 Pro,,,,
5004332988367850,O1OIGz6Rk,7807795918,极端交易者,看到那么多牛人对T+0的理解如此片面，如此可笑，竟然侃侃而谈，真是中国股市的悲哀，他们对待投资如此不认真的吗？,,,,,28,126,647,2024-02-22 21:43,HUAWEI Mate X2,,,,
5004634047120592,O1WygtSog,7799274131,洪灝的宏观策略,中国股市风险溢价接近历史极值。也就是说，中国股票历史性地便宜。,,,,,366,252,1578,2024-02-23 17:40,,['https://wx2.sinaimg.cn/large/008vOXu3gy1hn3jcnxp4gj30s00f2q6o.jpg'],,,
5006413130893677,O2GPL3Ku9,1905549057,扬韬,今天两市巨量下跌，好事情，历来巨量之后的下跌，未来还是相对乐观的。涨了这么多，总要调整一下。大家主要是要等着看看两会有什么实质性利好没有，关于消费，关于家电汽车的相关政策，尤其是货币政策，股市新政也在期待中。对中国股市，还是要持一份乐观的心态。股市超话,,,,,29,85,558,2024-02-28 15:29,微博网页版,,,,
